mean_elevation (m),mean_slope,mean_precipitation (mm),imperviousness,"flooded (yes =1, no =0)",distance_to_drainage (m)
9.63,3.47,21.94,96,0,5.12
6.76,4.91,18.18,50,0,190.75
7.4,4.23,21.94,15,0,9.88
9.58,3.33,20.06,389,0,163.3
3.78,4.35,21.94,25,0,68.4
2.86,5.14,21.94,23,0,8.59
6.69,3.71,21.94,40,0,89.45
6.15,3.76,28.46,92,0,766.2
41.29,7.12,28.73,3,0,13.65
46.48,14.69,13.9,0,0,4.31
42,2.01,28.73,6,0,617.47
76.32,26.08,14.86,0,0,78.33
47.96,17.16,14.86,0,0,351.33
86.42,15.21,14.86,0,0,46.77
68.82,11.43,15.87,11,0,4.37
75.37,11.79,14.86,0,0,23.81
38.48,5.26,14.86,0,0,0
37.5,7.65,14.86,6,0,156.52
36.93,6.37,21.31,138,0,216.57
38.88,7.54,13.9,0,0,0
39.4,13.21,13.9,0,0,10.83
50.84,9.38,13.9,0,0,21.75
82.15,15.38,13.9,0,0,0
44.28,7.86,13.9,19,0,9.18
117.6,15.94,15.53,0,0,0
54.05,7.39,28.73,0,0,636.31
48.93,14.76,33.35,15,0,1067.6
61.28,15.02,31.65,0,0,90.61
767.97,22.23,9.46,0,0,0
1514.84,24.45,16.36,0,0,29.93
40.8,10.92,27.68,0,0,29.55
756.3,20.43,11.61,0,0,0
19,8.45,15.64,0,0,0
1068.13,14.49,0,0,0,0
44.91,11.91,24.84,0,0,0
26.27,8.54,15.64,3,0,53.15
249.6,36.71,14.68,0,0,0
83.21,19.13,14.85,0,0,0
43.99,22.07,14.69,1,0,5.13
63.32,7.82,14.69,9,0,322.13
67.83,7.82,33.35,0,0,1209.58
45.21,15.52,24.11,0,0,0
37.58,9.14,27.35,0,0,4.29
33.91,7.32,24.84,0,0,31.07
559.28,20.25,16.71,60,0,0
8,5.8,21.94,15,0,215.32
0.6,7.22,20.06,6,0,196.41
137.99,13.74,14.86,0,0,21.28
65.5,15.79,14.86,0,0,78.33
120.78,12.24,14.68,0,0,224.81
61.11,12.93,14.86,0,0,0
44.22,14.81,14.86,0,0,12.77
55.93,9.07,15.39,0,0,69.95
39.61,8.29,27.67,3,0,54.05
144.85,34.19,11.51,0,0,0
60.9,10.84,13.78,8,0,10.28
1001.92,9.07,12.79,0,0,154.89
70,7.17,13.78,0,0,9.09
823.58,14.94,11.7,0,0,0
15.5,16.08,31.39,13,0,642.55
14.33,13.64,31.39,10,0,679.51
4.71,6.25,31.39,20,0,707.11
12,10.33,31.39,2,0,308.12
14.67,17.06,31.39,4,0,782.58
5.56,8.24,31.39,49,0,681.08
23.29,9.78,31.39,42,0,614.09
18,4.05,25.7,3,0,1083.04
17.51,6.31,16.26,111,0,1.95
15.96,7.46,25.7,55,0,121.41
12.73,5.03,25.7,163,0,117.88
15.5,6.06,20.98,10,0,191.73
23.25,5.91,25.7,8,0,748.98
2.25,6.43,25.7,39,0,31.06
8.33,4.82,25.7,0,0,86.49
28.65,6.76,25.7,60,0,228.86
31,5.8,25.7,6,0,387.53
13.32,4.18,21.74,308,0,67.71
9.91,4.1,18.18,60,0,308.67
11.76,3.63,18.18,37,0,396.03
9.25,7.13,18.18,11,0,346.91
11.23,4.33,20.71,108,0,126.07
7.5,3.75,28.46,124,0,535.56
8.05,3.8,20.56,51,0,406.76
9.25,3.75,20.56,78,0,83.5
9.75,3.04,20.56,25,0,593.94
8.81,3.86,16.39,140,0,0
7.52,4.23,16.09,66,0,0
8.91,4.37,16.09,66,0,0
8.41,3.73,16.09,92,0,161.11
8.69,4.61,20.56,90,0,225.36
8.22,5.65,21.94,27,0,434.8
9.18,2.58,18.78,51,0,498.34
9,3.09,17.01,19,0,355.27
